Entity; Entity_Count
Acts_of_the_Apostles; 54
Vetting; 53
University_of_Virginia; 53
Transgender; 53
Titan_%28mythology%29; 53
This_Summer; 53
The_Weeknd; 53
The_Way_%28film%29; 53
Suicide; 53
Starbucks; 53
Solar_System; 53
Shooter_%282007_film%29; 53
Orlando%2C_Florida; 53
Open_carry_in_the_United_States; 53
Mobile_phone; 53
League_%28unit%29; 53
Kitchen; 53
Ken_Griffey_Jr.; 53
Hey_%28band%29; 53
Graduation; 53
Georg_Petel; 53
Football_League_Championship; 53
Fell; 53
Energy; 53
Drought; 53
Chef_%28film%29; 53
Cartoon_Network; 53
CARE_%28relief_agency%29; 53
Boise%2C_Idaho; 53
Background_check; 53
Anne_Arundel_County%2C_Maryland; 53
Wedding_reception; 52
Water_supply_network; 52
Village; 52
University_of_Southern_California; 52
United_States_presidential_election%2C_2016; 52
Tributyltin; 52
Surge_%28soft_drink%29; 52
Subscription_business_model; 52
Slate; 52
Season_%28sports%29; 52
Saudi_Arabia; 52
Rock_music; 52
Recycling; 52
Push-up; 52
Mason_City%2C_Iowa; 52
Local_ordinance; 52
Lehigh_Valley; 52
Law_enforcement; 52
January_23; 52
Hearing_%28law%29; 52
Filling_station; 52
Critical_thinking; 52
Concerned; 52
Boat; 52
Baton_Rouge%2C_Louisiana; 52
Base_on_balls; 52
Argument; 52
Archive; 52
Aaron_Rodgers; 52
37_%28number%29; 52
32; 52
%2771_%28film%29; 52
Zoning; 51
Wind_chill; 51
Wind; 51
Win%E2%80%93loss_record_%28pitching%29; 51
Townhall.com; 51
Toll_road; 51
The_List_%282007_film%29; 51
The_Front_Page; 51
Structure_fire; 51
Seat_of_local_government; 51
Revenue; 51
Regulatory_agency; 51
